timestamp,value
1340807019,50
1340807020,40
1340807021,1
1340807022,16
1340807023,106
1340807024,59
1340807025,547
1340807026,95
1340807027,26
1340807028,8
1340807029,146
1340807030,231
1340807031,2
1340807032,68
1340807033,149
1340807034,3
1340807035,55
1340807036,55
1340807037,22
1340807038,23
1340807039,98
1340807040,23
1340807041,9
1340807043,60
1340807044,88
1340807045,10
1340807046,37
1340807047,30
1340807048,20
1340807049,0
1340807050,4
1340807051,31
1340807052,20
1340807053,18
1340807054,125
1340807055,129
1340807056,37
1340807057,16
1340807058,61
1340807059,11
1340807060,463
1340807061,200
1340807062,66
1340807063,2
1340807064,25
1340807065,153
1340807066,174
1340807067,19
1340807068,231
1340807069,73
1340807070,199
1340807071,74
1340807072,32
1340807073,68
1340807074,22
1340807075,220
1340807076,47
1340807077,119
1340807078,31
1340807079,186
1340807080,101
1340807081,71
1340807082,68
1340807083,133
1340807084,707
1340807085,305
1340807086,567
1340807087,95
1340807088,370
1340807089,95
1340807090,510
1340807091,744
1340807092,162
1340807093,751
1340807094,467
1340807095,724
1340807096,55
1340807097,841
1340807099,431
1340807100,119
1340807101,546
1340807102,496
1340807103,114
1340807104,419
1340807105,419
1340807106,243
1340807107,744
1340807108,42
1340807109,358
1340807110,105
1340807111,17
1340807112,0
1340807113,223
1340807114,148
1340807115,420
1340807116,442
1340807117,345
1340807118,180
1340807119,131
1340807120,59
1340807121,50
1340807122,11
1340807123,129
1340807124,18
1340807125,15
1340807126,48
1340807127,37
1340807128,57
1340807129,20
1340807130,56
1340807131,8
1340807132,2
1340807133,5
1340807134,36
1340807135,68
1340807136,55
1340807137,54
1340807138,7
1340807139,7
1340807140,8
1340807141,6
1340807142,15
1340807143,8
1340807144,67
1340807145,44
1340807146,14
1340807147,9
1340807148,36
1340807149,3
1340807150,1
1340807151,3
1340807152,85
1340807154,10
1340807155,440
1340807156,87
1340807157,13
1340807158,141
1340807159,25
1340807160,166
1340807161,78
1340807162,111
1340807163,117
1340807164,41
1340807165,207
1340807166,288
1340807167,259
1340807168,84
1340807169,36
1340807170,206
1340807171,454
1340807172,46
1340807173,9
1340807174,92
1340807175,23
1340807176,18
1340807177,18
1340807178,318
1340807179,329
1340807180,7
1340807181,793
1340807182,514
1340807183,756
1340807184,403
1340807185,832
1340807186,0
1340807187,560
1340807188,654
1340807189,43
1340807190,591
1340807191,685
1340807192,806
1340807193,220
1340807194,0
1340807195,318
1340807196,844
1340807197,646
1340807198,60
1340807199,725
1340807200,46
1340807201,679
1340807202,725
1340807203,265
1340807204,651
1340807205,220
1340807206,432
1340807207,604
1340807209,610
1340807210,640
1340807211,56
1340807212,332
1340807213,613
1340807214,188
1340807215,112
1340807216,252
1340807217,652
1340807218,592
1340807219,63
1340807220,147
1340807221,2
1340807222,272
1340807223,0
1340807224,253
1340807225,530
1340807226,744
1340807227,524
1340807228,843
1340807229,498
1340807230,677
1340807231,41
1340807232,256
1340807233,692
1340807234,87
1340807235,762
1340807236,289
1340807237,808
1340807238,0
1340807239,313
1340807240,259
1340807241,17
1340807242,567
1340807243,51
1340807244,510
1340807245,12
1340807246,548
1340807247,838
1340807248,25
1340807249,440
1340807250,675
1340807251,87
1340807252,289
1340807253,258
1340807254,808
1340807255,843
1340807256,811
1340807257,11
1340807258,497
1340807259,420
1340807260,259
1340807261,36
1340807262,185
1340807264,324
1340807265,136
1340807266,395
1340807267,94
1340807268,6
1340807269,2
1340807270,57
1340807271,24
1340807272,32
1340807273,19
1340807274,195
1340807275,102
1340807276,50
1340807277,689
1340807278,73
1340807279,387
1340807280,43
1340807281,353
1340807282,241
1340807283,698
1340807284,798
1340807285,772
1340807286,711
1340807287,326
1340807288,749
1340807289,813
1340807290,5
1340807291,147
1340807292,188
1340807293,190
1340807294,43
1340807295,18
1340807296,348
1340807297,251
1340807298,708
1340807299,730
1340807300,678
1340807301,768
1340807302,403
1340807303,406
1340807304,395
1340807305,36
1340807306,263
1340807307,85
1340807308,41
1340807309,35
1340807310,13
1340807311,3
1340807312,4
1340807313,156
1340807314,73
1340807315,0
1340807316,559
1340807317,738
1340807319,58
1340807320,13
1340807321,7
1340807322,7
1340807323,60
1340807324,10
1340807325,32
1340807326,183
1340807327,47
1340807328,29
1340807329,8
1340807330,143
1340807331,45
1340807332,8
1340807333,27
1340807334,144
1340807335,814
1340807336,49
1340807337,783
1340807338,97
1340807339,34
1340807340,59
1340807341,825
1340807342,177
1340807343,154
1340807344,261
1340807345,73
1340807346,10
1340807347,5
1340807348,4
1340807349,5
1340807350,27
1340807351,19
1340807352,18
1340807353,9
1340807354,39
1340807355,28
1340807356,3
1340807357,35
1340807358,93
1340807359,6
1340807360,34
1340807361,119
1340807362,14
1340807363,13
1340807364,19
1340807365,43
1340807366,8
1340807367,56
1340807368,52
1340807369,59
1340807370,41
1340807371,23
1340807372,20
1340807374,19
1340807375,54
1340807376,115
1340807377,154
1340807378,13
1340807379,34
1340807380,1
1340807381,72
1340807382,32
1340807383,110
1340807384,87
1340807385,103
1340807386,137
1340807387,107
1340807388,821
1340807389,105
1340807390,151
1340807391,220
1340807392,747
1340807393,52
1340807394,192
1340807395,70
1340807396,148
1340807397,25
1340807398,43
1340807399,23
1340807400,18
1340807401,4
1340807402,51
1340807403,39
1340807404,32
1340807405,56
1340807406,38
1340807407,66
1340807408,48
1340807409,22
1340807410,0
1340807411,29
1340807412,16
1340807413,14
1340807414,128
1340807415,5
1340807416,93
1340807417,74
1340807418,96
1340807419,254
1340807420,46
1340807421,22
1340807422,9
1340807423,9
1340807424,283
1340807425,42
1340807426,48
1340807427,0
1340807429,25
1340807430,60
1340807431,8
1340807432,10
1340807433,7
1340807434,21
1340807435,58
1340807436,27
1340807437,115
1340807438,106
1340807439,47
1340807440,46
1340807441,6
1340807442,5
1340807443,8
1340807444,9
1340807445,7
1340807446,98
1340807447,110
1340807448,52
1340807449,8
1340807450,31
1340807451,14
1340807452,24
1340807453,28
1340807454,45
1340807455,63
1340807456,19
1340807457,14
1340807458,75
1340807459,47
1340807460,27
1340807461,43
1340807462,110
1340807463,10
1340807464,44
1340807465,13
1340807466,103
1340807467,144
1340807468,63
1340807469,29
1340807470,26
1340807471,54
1340807472,15
1340807473,92
1340807474,47
1340807475,99
1340807476,168
1340807477,183
1340807478,247
1340807480,142
1340807481,179
1340807482,118
1340807483,170
1340807484,125
1340807485,245
1340807486,87
1340807487,68
1340807488,97
1340807489,226
1340807490,508
1340807491,80
1340807492,36
1340807493,275
1340807494,78
1340807495,89
1340807496,27
1340807497,504
1340807498,5
1340807499,725
1340807500,10
1340807501,818
1340807502,8
1340807503,131
1340807504,30
1340807505,76
1340807506,520
1340807507,30
1340807508,14
1340807509,35
1340807510,15
1340807511,19
1340807512,19
1340807513,13
1340807514,0
1340807515,66
1340807516,6
1340807517,84
1340807518,48
1340807519,48
1340807520,18
1340807521,43
1340807522,135
1340807523,10
1340807524,30
1340807525,483
1340807526,119
1340807527,124
1340807529,7
1340807530,573
1340807531,835
1340807532,351
1340807533,725
1340807534,8
1340807535,663
1340807536,49
1340807537,76
1340807538,19
1340807539,59
1340807540,10
1340807541,99
1340807542,28
1340807543,57
1340807544,56
1340807545,31
1340807546,143
1340807547,28
1340807548,45
1340807549,61
1340807550,804
1340807551,59
1340807552,10
1340807553,0
1340807554,6
1340807555,0
1340807556,84
1340807557,0
1340807558,740
1340807559,100
1340807560,54
1340807561,10
1340807562,32
1340807563,38
1340807564,21
1340807565,18
1340807566,80
1340807567,111
1340807568,57
1340807569,21
1340807570,0
1340807571,7
1340807572,19
1340807573,1
1340807574,95
1340807575,15
1340807576,35
1340807578,12
1340807579,31
1340807580,34
1340807581,21
1340807582,90
1340807583,273
1340807584,94
1340807585,58
1340807586,8
1340807587,830
1340807588,100
1340807589,117
1340807590,82
1340807591,12
1340807592,802
1340807593,97
1340807594,80
1340807595,29
1340807596,28
1340807597,24
1340807598,16
1340807599,61
1340807600,149
1340807601,216
1340807602,55
1340807603,60
1340807604,50
1340807605,12
1340807606,35
1340807607,15
1340807608,103
1340807609,61
1340807610,218
1340807611,137
1340807612,36
1340807613,109
1340807614,117
1340807615,104
1340807616,186
1340807617,89
1340807618,142
1340807619,14
1340807620,11
1340807621,36
1340807622,47
1340807623,69
1340807624,86
1340807625,30
1340807627,11
1340807628,29
1340807629,55
1340807630,667
1340807631,386
1340807632,813
1340807633,112
1340807634,115
1340807635,187
1340807636,18
1340807637,240
1340807638,209
1340807639,86
1340807640,115
